,Freq='1.71GHz' Phi='0deg',Freq='1.77GHz' Phi='0deg',Freq='1.83GHz' Phi='0deg',Freq='1.885GHz' Phi='0deg',Freq='1.9GHz' Phi='0deg',Freq='1.915GHz' Phi='0deg',Freq='2.01GHz' Phi='0deg',Freq='2.018GHz' Phi='0deg',Freq='2.025GHz' Phi='0deg',Freq='2.575GHz' Phi='0deg',Freq='2.6GHz' Phi='0deg',Freq='2.635GHz' Phi='0deg'
-180,-20.16695601,-18.13687788,-16.93565464,-16.8849689,-16.91636905,-16.94983693,-17.19355247,-17.29135378,-17.38753824,-16.10498466,-15.90817797,-15.36979255
-179,-19.64077088,-18.02082717,-16.95484482,-16.86574911,-16.87073152,-16.86877097,-16.95017401,-17.030952,-17.1158233,-15.2484091,-15.02824046,-14.79876265
-178,-19.23327812,-17.96676573,-17.09120344,-16.99873215,-16.98684683,-16.958482,-16.88406391,-16.93899657,-16.99898303,-15.04448481,-14.65616395,-14.3994804
-177,-18.85081484,-17.95111949,-17.32257585,-17.26547037,-17.24973426,-17.21092782,-17.06617857,-17.10339539,-17.14142427,-15.2477711,-14.8243987,-14.54237695
-176,-18.42836508,-17.96259144,-17.63576471,-17.64308057,-17.6326099,-17.59757962,-17.50529396,-17.54610703,-17.57990594,-15.20988715,-15.04402431,-15.04387705
-175,-17.9664342,-18.00629588,-18.03246234,-18.12235205,-18.11733291,-18.08952563,-18.13798656,-18.2070717,-18.26187949,-14.63148314,-14.77175525,-15.28082482
-174,-17.52609856,-18.09989522,-18.52653107,-18.72310512,-18.71793809,-18.68888693,-18.86304085,-18.97145439,-19.06452178,-14.02456303,-14.21567764,-14.96939801
-173,-17.1893349,-18.26572832,-19.13415769,-19.49389224,-19.48883725,-19.4491187,-19.63405177,-19.76531069,-19.88785968,-13.95440628,-14.00880205,-14.63946263
-172,-17.02101581,-18.52420625,-19.86347373,-20.49382508,-20.50904305,-20.46573801,-20.5494003,-20.66865606,-20.78776242,-14.61371997,-14.50995256,-14.86485113
-171,-17.04963107,-18.89047482,-20.71038966,-21.76541077,-21.85139966,-21.84424258,-21.84518229,-21.92435622,-22.00665203,-15.81478438,-15.70443912,-15.84562134
-170,-17.25920402,-19.37258951,-21.66334038,-23.30684212,-23.54624755,-23.65912239,-23.82916613,-23.8634037,-23.89321618,-16.85732178,-17.09512812,-17.38264386
-169,-17.58371208,-19.96803241,-22.71228159,-25.0516678,-25.53869626,-25.89371691,-26.84478553,-26.86957553,-26.86144895,-16.93153661,-17.68445413,-18.61953748
-168,-17.90999155,-20.65659474,-23.84744504,-26.87808196,-27.6567521,-28.34142379,-31.01325549,-31.18959707,-31.26339874,-16.33154751,-17.21092923,-18.51490914
-167,-18.11119471,-21.39134285,-25.027431,-28.65985538,-29.66583932,-30.5792122,-33.81996595,-34.33829754,-34.78351164,-15.88240115,-16.55453642,-17.58547746
-166,-18.11737274,-22.09590404,-26.10880149,-30.234575,-31.36994364,-32.27542369,-32.26295097,-32.52413862,-32.8097641,-15.91331354,-16.31155903,-16.90438411
-165,-17.96696457,-22.68164747,-26.80121087,-31.09245839,-32.32215286,-33.22640768,-30.7887524,-30.83630151,-30.92484475,-16.28926066,-16.51369572,-16.83069204
-164,-17.77725827,-23.08683844,-26.83438002,-30.47838462,-31.61836463,-32.63506224,-30.62634383,-30.62362661,-30.65141472,-16.61486959,-16.8652831,-17.19933561
-163,-17.67146282,-23.30647974,-26.27104989,-28.71778935,-29.52509501,-30.40474508,-31.08919941,-31.21680045,-31.34827533,-16.60661637,-16.99503331,-17.51401469
-162,-17.73342429,-23.37623763,-25.43794956,-26.82671978,-27.30185391,-27.89431023,-30.7814697,-31.17024772,-31.5627474,-16.46512163,-16.86658025,-17.37186908
-161,-17.9995354,-23.32746425,-24.60357069,-25.30682596,-25.54743413,-25.89119433,-29.25608449,-29.74664572,-30.25936612,-16.64039491,-16.84726886,-17.01338228
-160,-18.46427056,-23.16450948,-23.88176572,-24.24697398,-24.34772334,-24.52240547,-27.60666581,-28.05888721,-28.5279208,-17.46305281,-17.33365913,-16.97435832
-159,-19.08506516,-22.88442576,-23.29698882,-23.59784559,-23.63786497,-23.71977368,-26.50640398,-26.91077336,-27.31759394,-19.04423072,-18.5271958,-17.53496686
-158,-19.78714014,-22.51257241,-22.85154625,-23.27759615,-23.32110561,-23.37670784,-26.02983762,-26.40537414,-26.76513029,-20.99476409,-20.25437513,-18.56147213
-157,-20.47756638,-22.1135177,-22.55725339,-23.20722418,-23.30007589,-23.3820548,-26.037531,-26.39073956,-26.70442314,-21.7378619,-21.43302212,-19.37212287
-156,-21.07518314,-21.7684545,-22.43807248,-23.32388291,-23.48637473,-23.62506294,-26.28708208,-26.5968479,-26.83773233,-20.46056858,-20.84127631,-19.22391699
-155,-21.54270497,-21.54535783,-22.51804484,-23.57827328,-23.79765113,-23.98846019,-26.41876021,-26.63245725,-26.75365341,-18.87387009,-19.51934512,-18.5065056
-154,-21.89085713,-21.48341065,-22.80693734,-23.91447611,-24.13843956,-24.32852322,-25.99137701,-26.05503716,-26.03344025,-17.96744655,-18.70862404,-18.06991565
-153,-22.14800366,-21.59208813,-23.28958745,-24.24347269,-24.3781918,-24.46391722,-24.7738751,-24.68948869,-24.56136864,-17.79264502,-18.64524327,-18.24694337
-152,-22.32623352,-21.85774742,-23.92092622,-24.44290568,-24.37333214,-24.23613125,-23.00761343,-22.82561758,-22.64542985,-17.98069332,-18.97810152,-18.8026407
-151,-22.41365086,-22.25346925,-24.62936463,-24.41508928,-24.05991934,-23.63701383,-21.12983371,-20.8953721,-20.69363462,-17.83915668,-18.88808332,-18.88962722
-150,-22.39428891,-22.7501355,-25.33034668,-24.16431746,-23.5198633,-22.83177163,-19.43700407,-19.17480556,-18.96230534,-16.96316709,-17.8616652,-17.80165052
-149,-22.27382648,-23.32464489,-25.94064005,-23.79096011,-22.91446577,-22.02480645,-18.05267223,-17.77549348,-17.55610299,-15.7976764,-16.4529236,-16.10997647
-148,-22.0858146,-23.95738805,-26.37209703,-23.40167178,-22.37016014,-21.34549867,-16.99960376,-16.71565318,-16.49240867,-14.93489705,-15.32957854,-14.61221898
-147,-21.87388887,-24.61083101,-26.50791959,-23.0375553,-21.92832587,-20.82882624,-16.25011471,-15.96663064,-15.74373784,-14.62925645,-14.7239662,-13.59071988
-146,-21.6674869,-25.18914932,-26.22386654,-22.6661647,-21.55506484,-20.43947036,-15.749653,-15.47438626,-15.25779802,-14.88919241,-14.61374992,-13.05382119
-145,-21.46773481,-25.50704689,-25.49318536,-22.22205472,-21.17848248,-20.10494336,-15.4289163,-15.17036773,-14.96764869,-15.55289159,-14.85342124,-12.91849204
-144,-21.24773972,-25.34788109,-24.44901252,-21.66659675,-20.73802379,-19.75378836,-15.2148309,-14.98136279,-14.80073012,-16.24490848,-15.18483607,-13.03906196
-143,-20.96484545,-24.63975773,-23.29414002,-21.02277637,-20.22264425,-19.35037283,-15.04388371,-14.8419566,-14.69048109,-16.42080888,-15.24893355,-13.18145049
-142,-20.579781,-23.5357783,-22.18405061,-20.35725033,-19.67045148,-18.90545589,-14.87425631,-14.70673291,-14.58838557,-15.81639466,-14.77497174,-13.06369169
-141,-20.07363107,-22.26712993,-21.19384452,-19.73661614,-19.13595397,-18.45643359,-14.6899601,-14.55565563,-14.4703397,-14.74430273,-13.8477517,-12.55919054
-140,-19.45298226,-20.99731063,-20.33836427,-19.19900546,-18.658494,-18.0384418,-14.49513406,-14.38991549,-14.33403063,-13.65223473,-12.80846816,-11.83649366
-139,-18.74211725,-19.8024506,-19.59975481,-18.75063702,-18.25123652,-17.66855266,-14.30455561,-14.22321038,-14.19123552,-12.79223377,-11.95269797,-11.18794169
-138,-17.97077738,-18.70533989,-18.94867838,-18.37679699,-17.90738347,-17.34706919,-14.13751059,-14.07545113,-14.06167219,-12.24553686,-11.42605466,-10.82293607
-137,-17.16596767,-17.70576442,-18.35882037,-18.05705451,-17.6136408,-17.06833891,-14.01660495,-13.97099833,-13.97086764,-11.9874162,-11.25259732,-10.82555231
-136,-16.34960947,-16.79706714,-17.81494422,-17.77819933,-17.36267974,-16.83196847,-13.96841787,-13.93877711,-13.94979318,-11.90697997,-11.36216164,-11.17792044
-135,-15.53934265,-15.9729328,-17.31418073,-17.54028393,-17.15900907,-16.64798839,-14.02281958,-14.01127792,-14.03347718,-11.82631749,-11.60085506,-11.77041183
-134,-14.74966059,-15.22885116,-16.86183095,-17.35425722,-17.01662434,-16.53423411,-14.21025742,-14.22181657,-14.25809412,-11.58177175,-11.77286359,-12.40777467
-133,-13.99225109,-14.56126752,-16.46489375,-17.2339895,-16.95125269,-16.50879401,-14.55808967,-14.60116557,-14.65774966,-11.14551099,-11.75263903,-12.87109863
-132,-13.27572223,-13.96623523,-16.12657722,-17.18751608,-16.97180489,-16.58183082,-15.08693556,-15.17453234,-15.26201567,-10.64199158,-11.57735207,-13.04879259
-131,-12.605283,-13.43849437,-15.84351362,-17.21104457,-17.0742785,-16.74955105,-15.80679129,-15.95860898,-16.09401096,-10.23489497,-11.38884212,-12.98862031
-130,-11.98277528,-12.97128205,-15.60587859,-17.28720052,-17.23949581,-16.9914301,-16.71135337,-16.95691324,-17.16727283,-10.03066142,-11.30228054,-12.78479409
